#"Step","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)"
49000,-356291.0888596452,302.09905548434205,236.41525844120272
50000,-357267.8115158952,302.7311074313941,236.41525844120272
51000,-357111.2011643327,298.29331098202493,236.41525844120272
52000,-356122.2724533952,302.1615124666606,236.41525844120272
53000,-357231.9550705827,300.0523396846352,236.41525844120272
54000,-356613.9765549577,301.87780463132333,236.41525844120272
55000,-356667.9912033952,301.42286829368777,236.41525844120272
56000,-355467.2900315202,300.67190772814314,236.41525844120272
57000,-356625.5263596452,300.204924174932,236.41525844120272
58000,-356902.5742112077,300.27870549043746,236.41525844120272
59000,-356080.5107346452,298.51105926389096,236.41525844120272
60000,-356991.2480393327,300.14981542631165,236.41525844120272
61000,-356001.2148362077,301.9470664017009,236.41525844120272
62000,-356408.1904221452,301.71415560768224,236.41525844120272
63000,-356558.0849533952,301.80657199815545,236.41525844120272
64000,-357454.4755783952,302.1668923380513,236.41525844120272
65000,-357572.4101487077,296.2003160284588,236.41525844120272
66000,-356854.0302658952,298.5009221193414,236.41525844120272
67000,-356426.8720627702,300.2190794435834,236.41525844120272
68000,-356085.6747971452,302.42521588534976,236.41525844120272
69000,-356768.7314377702,302.79215713534757,236.41525844120272
70000,-356581.7451096452,306.22260072752846,236.41525844120272
71000,-356111.3447190202,301.6296987788327,236.41525844120272
72000,-357531.0146408952,300.1214415697645,236.41525844120272
73000,-357560.8085862077,298.45583783116604,236.41525844120272
74000,-356637.5439377702,303.99274623724125,236.41525844120272
75000,-357081.3281174577,298.04551227395456,236.41525844120272
76000,-357068.3515549577,298.0479712349889,236.41525844120272
77000,-356227.5468674577,298.4546671528015,236.41525844120272
78000,-356172.4365158952,300.35960428664987,236.41525844120272
79000,-355723.1318283952,301.8893273955698,236.41525844120272
80000,-356964.8749924577,298.4514206297032,236.41525844120272
81000,-356124.9872971452,303.00043807278234,236.41525844120272
82000,-356915.5371018327,299.5108831259787,236.41525844120272
83000,-355445.3730393327,303.578319209834,236.41525844120272
84000,-356164.4619065202,300.91018690228566,236.41525844120272
85000,-355345.8281174577,301.14084652945877,236.41525844120272
86000,-356885.1542893327,303.4494430673407,236.41525844120272
87000,-356571.6845627702,301.56897467381293,236.41525844120272
88000,-356613.9462815202,298.91851827605257,236.41525844120272
89000,-356286.7900315202,299.3410693653859,236.41525844120272
90000,-355880.9843674577,301.15487404463147,236.41525844120272
91000,-357426.8115158952,299.25117774182473,236.41525844120272
92000,-357227.2792893327,302.15338511567836,236.41525844120272
93000,-355929.8369065202,303.0655331296283,236.41525844120272
94000,-357025.6142502702,298.9791620772268,236.41525844120272
95000,-355903.2265549577,298.73327222645554,236.41525844120272
96000,-356985.3456955827,300.8843055898182,236.41525844120272
97000,-356616.3525315202,299.0225459953692,236.41525844120272
98000,-356661.2236252702,301.20831417855493,236.41525844120272
99000,-356374.7236252702,298.63405856397713,236.41525844120272
100000,-357203.5253830827,303.5704167317148,236.41525844120272
101000,-355445.7353440202,299.2895000153305,236.41525844120272
102000,-357129.1103440202,301.6906274766657,236.41525844120272
103000,-357179.5507737077,301.1566365434031,236.41525844120272
104000,-357284.1767502702,300.114838582802,236.41525844120272
105000,-356292.3779221452,300.1381312167605,236.41525844120272
106000,-356772.8564377702,300.85545587034096,236.41525844120272
107000,-357098.1943283952,300.6293874181091,236.41525844120272
108000,-357716.7236252702,301.97814690970927,236.41525844120272
109000,-356353.8037033952,302.6970175140368,236.41525844120272
110000,-356203.7792893327,303.7544401881796,236.41525844120272
111000,-356877.0781174577,303.2005344424635,236.41525844120272
112000,-356441.9785080827,301.4999052201843,236.41525844120272
113000,-356195.0224533952,302.71648915837727,236.41525844120272
114000,-356559.8818283952,298.92608376939904,236.41525844120272
115000,-356873.5097580827,300.12486070318903,236.41525844120272
116000,-356351.8603440202,302.82392553808273,236.41525844120272
117000,-356311.0400315202,301.96215920905126,236.41525844120272
118000,-356650.2363205827,302.3837370444357,236.41525844120272
119000,-356282.5878830827,297.65191128675883,236.41525844120272
120000,-356844.0009690202,304.23072297629193,236.41525844120272
121000,-356735.9648362077,300.82772693235506,236.41525844120272
122000,-357099.9960862077,300.6646870761638,236.41525844120272
123000,-356885.8486252702,298.7655655721342,236.41525844120272
124000,-356778.4189377702,298.96602695657316,236.41525844120272
125000,-356787.3955002702,298.38002379170365,236.41525844120272
126000,-357170.8574143327,300.00956245411976,236.41525844120272
127000,-357313.9492112077,298.48261126685736,236.41525844120272
128000,-356270.0029221452,298.94886986407977,236.41525844120272
129000,-356293.4238205827,299.9071889175436,236.41525844120272
130000,-356684.2431565202,298.6913343943446,236.41525844120272
131000,-355504.8769455827,300.46214331856396,236.41525844120272
132000,-356225.5624924577,297.44501713329197,236.41525844120272
133000,-357737.1425705827,303.18785746964727,236.41525844120272
134000,-356878.4228440202,302.2342894659305,236.41525844120272
135000,-357172.6523362077,300.1650063612494,236.41525844120272
136000,-355876.0898362077,299.98044253893295,236.41525844120272
137000,-356999.3369065202,300.6944463934649,236.41525844120272
138000,-356376.3466721452,297.79744967050874,236.41525844120272
139000,-357764.2939377702,303.5693954337701,236.41525844120272
140000,-357490.9570237077,299.937107594978,236.41525844120272
141000,-356032.7919846452,301.3807252806081,236.41525844120272
142000,-356871.9287033952,302.3217807005775,236.41525844120272
143000,-356678.9433518327,300.5716077698336,236.41525844120272
144000,-357064.0830002702,301.67298893133517,236.41525844120272
145000,-356042.3544846452,299.2706106792109,236.41525844120272
146000,-355792.3603440202,301.52641056492564,236.41525844120272
147000,-355930.4667893327,300.48333048956454,236.41525844120272
148000,-356417.5146408952,302.3562135018359,236.41525844120272
149000,-356564.9150315202,303.6993558587174,236.41525844120272
150000,-356494.5761643327,303.7761579260692,236.41525844120272
151000,-356392.9277268327,302.25860009813044,236.41525844120272
152000,-356315.7353440202,300.19251489904946,236.41525844120272
153000,-356145.7802658952,298.8235011896446,236.41525844120272
154000,-356373.9042893327,301.86348007180015,236.41525844120272
155000,-357478.0947190202,300.8898294887959,236.41525844120272
156000,-357206.2490158952,303.10661860069337,236.41525844120272
157000,-356806.4843674577,301.98406982556924,236.41525844120272
158000,-356316.6347580827,301.6155144000933,236.41525844120272
159000,-356438.3242112077,298.0192331266201,236.41525844120272
160000,-356901.9296799577,300.8395116182456,236.41525844120272
161000,-356437.1220627702,297.583492966874,236.41525844120272
162000,-355840.4619065202,299.0439906929938,236.41525844120272
163000,-355827.6796799577,299.8954256161132,236.41525844120272
164000,-355752.1874924577,299.65636188767104,236.41525844120272
165000,-356540.2509690202,299.8997154154446,236.41525844120272
166000,-357225.7841721452,297.23748151928766,236.41525844120272
167000,-356873.7607346452,299.11340688829245,236.41525844120272
168000,-356447.0136643327,299.93900945519573,236.41525844120272
169000,-356460.4960862077,298.69389579129364,236.41525844120272
170000,-356486.7714768327,297.6716422266847,236.41525844120272
171000,-357067.1787033952,300.59089152788584,236.41525844120272
172000,-358010.7216721452,300.606293715170000,-367492.086148047173000,-357215.5820237077,301.1937024049171000,-367657.80001523174000,-356667.0712815202,301.214247280664172000,-367343.2589996175000,-355663.0605393327,299.9585777808065173000,-368149.42208176000,-356935.9267502702,304.00690200868854,174000,-367577.5636177000,-356047.5986252702,298.9335261733821,23175000,-368152.54178000,-356706.1298752702,299.8744229783966,236.176000,-369029.179000,-356327.4404221452,299.8718593155024,236.41177000,-36864180000,-356132.3701096452,298.01603039686546,236.415178000,-3678181000,-356274.9921799577,301.0605703333705,236.41525179000,-36182000,-356993.6874924577,301.6289273820651,236.415258180000,-3183000,-356719.6503830827,300.4450309536177,236.41525844181000,184000,-357713.4033127702,302.85362396931674,236.41525844182000,185000,-356200.1679612077,300.8242596438006,236.415258441183000186000,-356527.7070237077,302.5472034472881,236.415258441184000187000,-357007.1796799577,301.1050692849885,236.415258441218500188000,-355485.1396408952,300.6498072507313,236.415258441218600189000,-357646.7353440202,299.2338316537995,236.415258441202187190000,-356530.1298752702,300.70638137876483,236.415258441202718191000,-356140.9072190202,301.8617224376924,236.41525844120272
192000,-355466.4589768327,303.44473374652335,236.41525844120272
190000,-369208.57052304735,299.41053487089516,244.560336452583519191000,-369118.58224179735,300.80256710328706,244.560336452581950192000,-369661.63595273485,300.7586421217079,244.560336452196000193000,-368515.67501523485,298.35643969040984,244.56033645197000,194000,-368765.22774960985,301.3940726834986,244.5603364198000,-195000,-368388.15353085985,296.5070413344861,244.5603364199000,-196000,-368505.46603085985,302.53478257810946,244.560336200000,-3197000,-367825.54024960985,300.6153024176581,244.56033201000,-35198000,-368272.64864804735,301.62777650621115,244.560202000,-3566199000,-368781.67501523485,301.14711268331564,244.5203000,-356668200000,-368359.07638242235,302.2906007619098,244.204000,-355663.201000,-369651.29513242235,305.27183480160653,244205000,-356499.1202000,-368401.88204648485,299.46050525597354,2206000,-356954.160203000,-368536.79903867235,303.3211503092212,2207000,-357627.672204000,-368156.54610898485,301.1878535427138,208000,-357469.2138205000,-368412.64962460985,299.88581783275384209000,-356117.19237206000,-367838.44161679735,304.0729899294172210000,-357805.952140207000,-368343.04610898485,303.254585607432211000,-357613.8242112208000,-367986.55392148485,303.5071398753212000,-357104.13573464209000,-368877.37618710985,304.13121076029813,244.56033645258358
210000,-368879.92110898485,297.5993364769989,244.56033645258358
211000,-368954.73946835985,301.79260772350534,244.56033645258358
212000,-369185.11642148485,301.73047770842965,244.56033645258358
213000,-367840.85763242235,302.348430947075,244.56033645258358
214000,-368534.87423398485,301.0359775719019,244.56033645258358
215000,-368764.60567929735,300.5104555594689,244.56033645258358
.3547970088423,236.41525844120272
